[17:44:01] UDP debugger initialized OK
[17:47:32] [1.4163980484] Data read
[17:47:32] [1.42842197418] Data read
[17:47:32] [1.44030809402] Data read
[17:47:32] [1.45281505585] Data read
[17:47:32] [1.46409606934] Data read
[17:47:32] [1.47639203072] Data read
[17:47:32] [1.4883711338] Data read
[17:47:32] [1.50031495094] Data read
[17:47:32] [1.51236510277] Data read
[17:47:32] [1.52429008484] Data read
[17:47:32] [1.53632712364] Data read
[17:47:32] [1.54821205139] Data read
[17:47:32] [1.5601439476] Data read
[17:47:32] [1.57235908508] Data read
[17:47:32] [1.58377313614] Data read
[17:47:32] [1.59632301331] Data read
[17:47:32] [1.60819005966] Data read
[17:47:32] [1.62017393112] Data read
[17:47:32] [1.63210296631] Data read
[17:47:33] [1.644562006] Data read
[17:47:33] [1.65608215332] Data read
[17:47:33] [1.66930699348] Data read
[17:47:33] [1.68009614944] Data read
[17:47:33] [1.69249796867] Data read
[17:47:33] [1.70360898972] Data read
[17:47:33] [1.71611809731] Data read
[17:47:33] [1.72804808617] Data read
[17:47:33] [1.73998498917] Data read
[17:47:33] [1.75197505951] Data read
[17:47:33] [1.76400303841] Data read
[17:47:33] [1.77575612068] Data read
[17:47:33] [1.78815412521] Data read
[17:47:33] [1.79987096786] Data read
[17:47:33] [1.81185507774] Data read
[17:47:33] [1.82379007339] Data read
[17:47:33] [1.83585000038] Data read
[17:47:33] [1.84780907631] Data read
[17:47:33] [1.85977602005] Data read
[17:47:33] [1.87136602402] Data read
[17:47:33] [1.88406300545] Data read
[17:47:33] [1.8954501152] Data read
[17:47:33] [1.90794801712] Data read
[17:47:33] [1.91924595833] Data read
[17:47:33] [1.93178915977] Data read
[17:47:33] [1.94312310219] Data read
[17:47:33] [1.95579910278] Data read
[17:47:33] [1.96715903282] Data read
[17:47:33] [1.97990107536] Data read
[17:47:33] [1.99124193192] Data read
[17:47:33] [2.00378799438] Data read
[17:47:33] [2.01533293724] Data read
[17:47:33] [2.02782797813] Data read
[17:47:33] [2.03909993172] Data read
[17:47:33] [2.05181097984] Data read
[17:47:33] [2.06315398216] Data read
[17:47:33] Sent heartbeat (3)
[17:47:33] [2.0776219368] Data read
[17:47:33] [2.08724308014] Data read
[17:47:33] [2.09921312332] Data read
[17:47:33] [2.11104512215] Data read
[17:47:33] [2.1235871315] Data read
[17:47:33] [2.1350171566] Data read
[17:47:33] [2.14761805534] Data read
[17:47:33] [2.15897798538] Data read
[17:47:33] [2.17226004601] Data read
[17:47:33] [2.18305301666] Data read
[17:47:33] [2.19562411308] Data read
[17:47:33] [2.20687699318] Data read
[17:47:33] [2.21935296059] Data read
[17:47:33] [2.23066115379] Data read
[17:47:33] [2.24317407608] Data read
[17:47:33] [2.25457811356] Data read
[17:47:33] [2.26738405228] Data read
[17:47:33] [2.27902603149] Data read
[17:47:33] [2.29085206985] Data read
[17:47:33] [2.30266094208] Data read
[17:47:33] [2.31507015228] Data read
[17:47:33] [2.32657599449] Data read
[17:47:33] [2.33914113045] Data read
[17:47:33] [2.35051894188] Data read
[17:47:33] [2.36301612854] Data read
[17:47:33] [2.37468194962] Data read
[17:47:33] [2.38681507111] Data read
[17:47:33] [2.39874315262] Data read
[17:47:33] [2.41068315506] Data read
[17:47:33] [2.42263293266] Data read
[17:47:33] [2.43510913849] Data read
[17:47:33] [2.44654607773] Data read
[17:47:33] [2.45910000801] Data read
[17:47:33] [2.47042894363] Data read
[17:47:33] [2.48261713982] Data read
[17:47:33] [2.49444913864] Data read
[17:47:33] [2.50698113441] Data read
[17:47:33] [2.51863002777] Data read
[17:47:33] [2.5304710865] Data read
[17:47:33] [2.54250216484] Data read
[17:47:33] [2.55448794365] Data read
[17:47:33] [2.56653094292] Data read
[17:47:33] [2.57873511314] Data read
[17:47:33] [2.5900990963] Data read
[17:47:33] [2.60232400894] Data read
[17:47:33] [2.61434602737] Data read
[17:47:33] [2.6263320446] Data read
[17:47:33] [2.6382920742] Data read
[17:47:34] [2.65025806427] Data read
[17:47:34] [2.66211605072] Data read
[17:47:34] [2.67476511002] Data read
[17:47:34] [2.68617010117] Data read
[17:47:34] [2.69863295555] Data read
[17:47:34] [2.70990204811] Data read
[17:47:34] [2.722438097] Data read
[17:47:34] [2.73377394676] Data read
[17:47:34] [2.74633312225] Data read
[17:47:34] [2.7580780983] Data read
[17:47:34] [2.77031707764] Data read
[17:47:34] [2.78199410439] Data read
[17:47:34] [2.79444503784] Data read
[17:47:34] [2.80589795113] Data read
[17:47:34] [2.81842207909] Data read
[17:47:34] [2.82973003387] Data read
[17:47:34] [2.84223604202] Data read
[17:47:34] [2.85368108749] Data read
[17:47:34] [2.86628508568] Data read
[17:47:34] [2.87796401978] Data read
[17:47:34] [2.88981103897] Data read
[17:47:34] [2.90146303177] Data read
[17:47:34] [2.91409015656] Data read
[17:47:34] [2.92567896843] Data read
[17:47:34] [2.93821501732] Data read
[17:47:34] [2.94957208633] Data read
[17:47:34] [2.96209216118] Data read
[17:47:34] [2.97466301918] Data read
[17:47:34] [2.98612308502] Data read
[17:47:34] [2.99747395515] Data read
[17:47:34] [3.00968194008] Data read
[17:47:34] [3.02150297165] Data read
[17:47:34] [3.03393411636] Data read
[17:47:34] [3.04542303085] Data read
[17:47:34] [3.057970047] Data read
[17:47:34] [3.06930804253] Data read
[17:47:34] Sent heartbeat (3)
[17:47:34] [3.08155202866] Data read
[17:47:34] [3.09340906143] Data read
[17:47:34] [3.10547709465] Data read
[17:47:34] [3.11741399765] Data read
[17:47:34] [3.12933301926] Data read
[17:47:34] [3.14130711555] Data read
[17:47:34] [3.15386199951] Data read
[17:47:34] [3.16531801224] Data read
[17:47:34] [3.17751407623] Data read
[17:47:34] [3.18888998032] Data read
[17:47:34] [3.20151901245] Data read
[17:47:34] [3.21290612221] Data read
[17:47:34] [3.22547698021] Data read
[17:47:34] [3.23687314987] Data read
[17:47:34] [3.24925994873] Data read
[17:47:34] [3.26085495949] Data read
[17:47:34] [3.27315306664] Data read
[17:47:34] [3.28481507301] Data read
[17:47:34] [3.29743504524] Data read
[17:47:34] [3.30864715576] Data read
[17:47:34] [3.32120108604] Data read
[17:47:34] [3.33311295509] Data read
[17:47:34] [3.34509706497] Data read
[17:47:34] [3.35657000542] Data read
[17:47:34] [3.36906814575] Data read
[17:47:34] [3.38068413734] Data read
[17:47:34] [3.39319610596] Data read
[17:47:34] [3.40463399887] Data read
